Country name	Adjectivals	Demonyms
colloquial term(s)
Abkhazia	Abkhaz, Abkhazian	Abkhazians
Afghanistan	Afghan	Afghans
Albania	Albanian	Albanians
Algeria	Algerian	Algerians
American Samoa	American Samoan	American Samoans
Andorra	Andorran	Andorrans
Angola	Angolan	Angolans
Anguilla	Anguillan	Anguillans
Antigua and Barbuda	Antiguan, Barbudan	Antiguans, Barbudans
Argentina	Argentine, Argentinean, Argentinian	Argentines, Argentineans, Argentinians
Armenia	Armenian	Armenians
Aruba	Aruban	Arubans
Australia	Australian	Australians	"Aussies"
Austria	Austrian	Austrians
Azerbaijan	Azerbaijani, Azeri	Azerbaijanis, Azeris
Bahamas	Bahamian	Bahamians
Bahrain	Bahraini	Bahrainis
Bangladesh	Bangladeshi	Bangladeshis
Barbados	Barbadian  ("Bajan")	Barbadians	"Bajans"
Belarus	Belarusian	Belarusians
Belgium	Belgian	Belgians
Belize	Belizean	Belizeans
Benin	Beninese, Beninois	Beninese, Beninois
Bermuda	Bermudian, Bermudan	Bermudians, Bermudans
Bhutan	Bhutanese	Bhutanese
Bolivia	Bolivian	Bolivians
Bosnia and Herzegovina	Bosnian, Bosniak, Herzegovinian	Bosnians, Bosniaks, Herzegovinians
Botswana	Motswana (pl. Batswana), Botswanan	Batswana, Botswanans
Brazil	Brazilian	Brazilians
British Virgin Islands	British Virgin Island	British Virgin Islanders
Brunei	Bruneian	Bruneians
Bulgaria	Bulgarian	Bulgarians
Burkina Fasoa	Burkinabè/Burkinabé	Burkinabè/Burkinabé
Burmab	Burmese	Bamar, Burmese
Burundi	Burundian	Burundians
Cambodia	Cambodian	Cambodians
Cameroon	Cameroonian	Cameroonians
Canada	Canadian	Canadians	"Canucks"c
Cape Verde	Cape Verdean	Cape Verdeans
Cayman Islands	Caymanian	Caymanians
Central African Republic	Central African	Central Africans
Chad	Chadian	Chadians
Chile	Chilean	Chileans
Christmas Island	Christmas Island	Christmas Islanders
Cocos (Keeling) Islands	Cocos Island	Cocos Islanders
Colombia	Colombian	Colombians
Comoros	Comorian	Comorians
Cook Islands	Cook Island, Cook Islands	Cook Islanders
Costa Rica	Costa Rican	Costa Ricans	"Ticos"
Croatia	Croatian	Croatians, Croats
Cuba	Cuban	Cubans
Cyprus	Cypriot	Cypriots
Czech Republic	Czech	Czechs
Côte d'Ivoire	Ivorian	Ivorians
Dem. Republic of the Congo	Congolese, Congo[citation needed]	Congolese
Denmark	Danish	Danes
Djibouti	Djiboutian	Djiboutians
Dominica	Dominicand	Dominicansd
Dominican Republic	Dominicane	Dominicanse	"Quisqueyanos"
East Timor	Timorese	Timorese	"Maubere"
Ecuador	Ecuadorian	Ecuadorians
Egypt	Egyptian	Egyptians
El Salvador	Salvadoran	Salvadorans
England	English	English, Englishman
Equatorial Guinea	Equatorial Guinean, Equatoguinean	Equatorial Guineans, Equatoguineans
Eritrea	Eritrean	Eritreans
Estonia	Estonian	Estonians
Ethiopia	Ethiopian	Ethiopians
Europe	European	Europeans
Falkland Islands	Falkland Island	Falkland Islanders	"Belongers"
Faroe Islands	Faroese	Faroese
Fiji	Fijian	Fijians
Finland	Finnish	Finns
France	French	French (or Frenchman/Frenchwoman)
French Guiana	French Guianese	French Guianese
French Polynesia	French Polynesian	French Polynesians, Tahitians[1]
Gabon	Gabonese	Gabonese
Gambia	Gambian	Gambians
Georgia	Georgian	Georgians
Germany	German	Germans
Ghana	Ghanaian	Ghanaians
Gibraltar	Gibraltar	Gibraltarians	Llanitos
Great Britain	British	Britons	see Other words for "British"
Greece	Greek, Greciang, Hellenic	Greeks, Greciansg, Hellenes
Greenland	Greenlandic	Greenlanders
Grenada	Grenadian	Grenadians
Guadeloupe	Guadeloupe	Guadeloupians
Guam	Guamanian, Guambat	Guamanians
Guatemala	Guatemalan	Guatemalans
Guinea	Guinean	Guineans
Guinea-Bissau	Guinean	Guineans
Guyana	Guyanese	Guyanese
Haiti	Haitian	Haitians	Ayisyen
Honduras	Honduran	Hondurans	"Catrachos"
Hong Kong	Hong Kong, Hongkongese	Hongkongers, Hongkongese	"Hongkies" "Hongers"
Hungary	Hungarian, Magyar	Hungarians, Magyars
Iceland	Icelandic	Icelanders
India	Indian	Indians
Indonesia	Indonesian	Indonesians
Iran	Iranian, Persian	Iranians, Persians
Iraq	Iraqi	Iraqis
Ireland	Irish	Irish
Isle of Man	Manx	Manx
Israel	Israeli	Israelis
Italy	Italian, Italicf	Italians, Italicsf
Jamaica	Jamaican	Jamaicans
Japan	Japanese	Japanese
Jordan	Jordanian	Jordanians
Kazakhstan	Kazakh, Kazakhstani	Kazakhstanis, Kazakhs
Kenya	Kenyan	Kenyans
Kiribati	I-Kiribati	I-Kiribati
Kosovo	Kosovar, Kosovan	Kosovars
